funding_amount,num_funding_rounds,industry_sector,location,num_milestones,team_size,years_active,success_probability,success_outcome
25.36,6,FinTech,Singapore,9,214,2.1,61.76,0
17.71,5,SaaS,New York,3,241,8.7,71.38,1
24.88,2,E-commerce,New York,8,114,5.8,58.81,1
7.9,5,EdTech,Singapore,2,173,10.3,74.23,1
3.71,5,CleanTech,Berlin,17,229,10.9,75.45,1
2.29,4,CleanTech,London,10,211,10.5,68.02,1
5.95,5,AI/ML,Toronto,0,170,1.1,57.6,0
11.49,7,SaaS,Boston,9,136,9.2,75.23,1
13.56,4,FinTech,London,16,246,11.1,78.98,1
126.12,3,CleanTech,Berlin,13,61,7.6,62.04,1
54.93,4,Cybersecurity,Singapore,4,91,7.3,65.89,1
6.94,6,SaaS,Boston,16,178,0.8,62.55,1
25.73,5,AI/ML,Berlin,3,7,10.3,67.34,1
12.1,1,CleanTech,Seattle,4,126,0.8,44.32,0
13.68,4,E-commerce,London,2,213,4.0,60.24,1
21.87,6,HealthTech,Toronto,16,45,11.1,75.74,1
33.76,2,E-commerce,Boston,12,201,11.4,72.68,0
12.95,7,Cybersecurity,Berlin,9,104,11.9,76.5,0
52.66,6,CleanTech,Bangalore,12,215,5.9,66.81,0
5.8,6,SaaS,Singapore,4,159,2.4,64.61,1
18.29,1,AI/ML,Bangalore,1,40,6.0,49.53,1
244.12,5,EdTech,London,15,184,1.5,67.15,1
22.72,4,E-commerce,Austin,17,15,10.5,70.8,1
76.19,5,HealthTech,Bangalore,0,62,6.9,66.53,0
19.92,6,EdTech,Berlin,0,222,5.0,61.34,0
32.48,3,EdTech,Austin,10,219,1.2,52.97,1
17.17,4,EdTech,Boston,0,13,5.0,52.14,0
15.33,5,EdTech,Austin,12,96,10.4,71.87,1
8.34,6,FinTech,Toronto,17,25,8.5,68.3,1
27.95,6,E-commerce,San Francisco,5,69,1.3,65.4,1
7.76,3,SaaS,Singapore,5,241,2.2,58.75,1
35.36,7,Cybersecurity,London,15,50,4.9,66.58,0
53.8,1,HealthTech,San Francisco,6,161,1.5,63.33,1
26.22,4,E-commerce,Berlin,4,201,11.2,68.37,1
13.65,5,HealthTech,Singapore,1,220,7.9,61.81,0
28.62,1,AI/ML,Singapore,15,89,1.4,50.86,0
13.35,4,SaaS,London,16,174,9.5,76.59,0
46.32,5,SaaS,Boston,1,121,4.6,68.78,0
2.91,5,E-commerce,New York,14,28,3.2,63.42,0
12.99,1,CleanTech,San Francisco,2,57,7.0,62.28,0
2.48,2,EdTech,Boston,2,187,0.5,52.53,1
4.08,2,CleanTech,Berlin,6,172,5.7,59.69,0
71.08,5,HealthTech,San Francisco,7,131,10.2,75.7,1
44.49,3,EdTech,Bangalore,15,195,11.2,71.21,1
8.85,5,EdTech,London,12,173,4.3,66.88,1
4.05,6,Cybersecurity,Austin,2,86,7.8,63.72,1
0.94,6,FinTech,Bangalore,10,74,3.0,65.39,1
10.55,2,SaaS,New York,15,236,6.9,70.74,0
204.47,7,SaaS,Bangalore,11,243,3.3,67.77,1
28.08,2,CleanTech,Austin,4,9,7.0,53.65,0
10.39,1,SaaS,Boston,2,198,2.3,52.7,1
28.94,1,Cybersecurity,Seattle,8,34,11.3,62.29,0
3.82,2,E-commerce,Bangalore,8,215,10.7,57.86,1
13.5,7,E-commerce,Austin,6,148,4.2,69.27,1
20.08,2,CleanTech,Bangalore,1,172,9.4,57.81,0
16.67,5,HealthTech,Boston,2,175,1.4,58.55,1
40.08,3,SaaS,Austin,9,152,9.0,64.9,1
25.65,1,AI/ML,Berlin,16,64,3.6,62.4,1
35.46,4,HealthTech,Berlin,10,202,1.9,63.97,1
9.13,1,FinTech,Boston,7,139,8.2,61.38,0
44.6,4,HealthTech,New York,16,137,5.8,63.39,1
92.66,4,CleanTech,Boston,12,80,6.5,64.21,1
6.89,4,E-commerce,London,12,4,6.4,60.81,0
7.48,2,EdTech,San Francisco,10,139,1.0,54.33,0
69.12,6,E-commerce,San Francisco,13,87,0.9,62.86,1
15.01,5,E-commerce,Bangalore,9,165,7.3,66.15,1
73.98,2,CleanTech,San Francisco,11,92,7.6,68.01,1
11.68,4,Cybersecurity,Seattle,11,243,0.9,59.53,1
77.87,1,Cybersecurity,Singapore,13,170,4.7,61.31,0
20.73,7,HealthTech,Boston,16,115,7.5,70.43,1
23.53,6,CleanTech,Seattle,5,177,8.0,78.74,1
86.9,3,SaaS,San Francisco,12,162,10.0,70.85,0
12.66,5,SaaS,Singapore,0,155,5.2,60.36,0
7.09,5,E-commerce,Berlin,9,145,6.7,66.59,0
11.6,5,AI/ML,Toronto,16,233,7.1,69.24,0
28.57,1,SaaS,Toronto,11,80,4.0,54.79,1
3.8,7,Cybersecurity,Boston,4,109,0.9,61.26,0
34.38,7,HealthTech,San Francisco,10,64,0.3,61.17,1
10.6,7,FinTech,Boston,6,143,10.1,76.86,1
57.27,7,FinTech,New York,7,246,2.6,62.54,1
1.66,7,CleanTech,London,4,152,7.7,75.93,1
8.28,6,SaaS,New York,11,53,7.1,72.59,1
3.37,1,SaaS,Bangalore,3,230,5.0,56.34,0
7.95,4,E-commerce,Berlin,7,197,10.1,59.72,1
23.28,2,SaaS,Austin,16,111,8.5,61.98,1
15.19,2,AI/ML,Bangalore,13,38,0.6,58.44,0
14.11,6,FinTech,Singapore,7,101,9.4,84.81,1
15.5,6,HealthTech,Seattle,17,201,6.2,75.86,1
22.27,4,Cybersecurity,New York,0,145,4.4,62.89,1
6.63,6,SaaS,Boston,17,48,8.8,73.49,0
36.85,1,HealthTech,London,6,41,8.3,57.39,1
35.26,2,EdTech,Singapore,14,241,3.9,62.38,1
26.71,7,EdTech,Austin,17,112,11.8,72.84,0
31.71,4,EdTech,Singapore,10,172,7.9,61.26,1
24.44,4,EdTech,Austin,10,91,7.4,59.04,1
139.08,4,E-commerce,Austin,13,24,1.1,58.8,1
16.66,2,FinTech,Seattle,4,104,3.6,56.44,1
13.37,6,EdTech,New York,3,173,5.5,65.62,1
8.55,6,SaaS,Seattle,6,84,7.7,69.16,0
6.47,5,AI/ML,Boston,8,151,6.3,63.88,1
5.24,3,Cybersecurity,Austin,13,110,9.2,64.51,0
7.47,5,Cybersecurity,Singapore,4,85,3.4,57.59,0
16.93,7,EdTech,Boston,10,65,8.5,65.7,0
25.39,5,AI/ML,Berlin,0,66,9.9,64.43,1
19.13,4,FinTech,Singapore,0,65,9.3,58.68,0
8.45,2,AI/ML,Berlin,17,180,9.3,70.2,1
44.71,4,HealthTech,Austin,15,85,10.7,74.55,1
38.07,3,FinTech,Toronto,15,185,1.3,52.84,1
15.49,5,E-commerce,Austin,5,79,8.5,64.2,0
9.46,1,HealthTech,Austin,9,83,11.6,72.99,1
31.45,2,SaaS,Toronto,12,231,7.0,59.01,0
21.93,6,FinTech,Boston,4,219,2.8,66.53,1
4.27,3,E-commerce,Berlin,13,101,12.0,68.02,1
16.98,4,CleanTech,San Francisco,12,68,2.3,64.89,1
23.62,4,AI/ML,Berlin,7,179,4.2,64.73,1
7.39,4,CleanTech,Toronto,7,19,2.3,51.21,0
21.97,6,SaaS,Singapore,5,115,5.7,66.85,0
4.24,2,HealthTech,London,14,150,5.2,61.82,0
69.14,6,HealthTech,Toronto,17,169,6.0,70.47,0
63.3,2,HealthTech,Austin,17,28,11.2,62.83,0
14.12,3,HealthTech,Boston,13,2,5.9,63.32,0
26.14,5,EdTech,San Francisco,6,70,6.3,69.84,1
1.63,7,HealthTech,Berlin,14,31,10.7,69.99,1
5.72,2,AI/ML,Singapore,4,127,9.9,64.1,0
13.55,5,HealthTech,Singapore,16,230,3.1,64.29,1
6.22,1,AI/ML,Singapore,4,73,0.5,43.55,0
37.13,1,EdTech,New York,7,114,7.7,51.84,1
133.93,6,E-commerce,Berlin,1,55,10.2,64.49,1
5.6,6,AI/ML,Singapore,1,12,6.8,61.36,1
7.87,3,Cybersecurity,Austin,7,176,2.8,51.39,0
23.0,5,SaaS,Seattle,9,65,9.0,70.73,1
91.02,3,EdTech,Bangalore,0,137,8.1,62.76,0
5.35,2,AI/ML,Seattle,15,171,6.9,68.63,1
23.31,4,E-commerce,Singapore,2,210,10.4,65.61,0
112.31,3,SaaS,London,17,48,9.5,61.69,0
3.48,6,AI/ML,Berlin,4,146,8.1,72.58,1
5.05,3,SaaS,Berlin,6,227,8.1,64.84,1
11.9,3,EdTech,Berlin,2,121,8.0,61.3,1
10.8,4,EdTech,Singapore,14,12,6.4,68.11,0
40.96,6,Cybersecurity,Bangalore,13,66,5.7,64.4,1
23.14,2,E-commerce,Austin,1,199,8.6,45.63,0
3.08,7,FinTech,Bangalore,1,198,7.4,63.77,1
30.43,4,Cybersecurity,Berlin,10,79,6.0,66.25,1
10.2,5,E-commerce,London,15,50,1.8,58.56,1
65.0,7,FinTech,Boston,1,74,8.5,66.19,0
9.7,4,E-commerce,Seattle,3,62,7.9,55.41,1
9.62,2,AI/ML,Berlin,9,185,4.3,58.16,0
31.22,6,Cybersecurity,Boston,1,210,4.5,59.0,1
38.98,1,SaaS,Austin,5,13,3.2,51.89,1
28.45,4,AI/ML,Toronto,0,185,11.6,66.65,0
3.37,7,EdTech,Seattle,8,188,10.4,71.63,1
31.13,3,EdTech,Berlin,12,153,6.9,59.49,0
6.46,5,AI/ML,San Francisco,7,218,5.0,69.73,1
22.99,4,CleanTech,San Francisco,4,11,8.9,64.6,1
4.38,2,Cybersecurity,Toronto,7,175,6.5,60.92,0
28.4,3,CleanTech,New York,9,33,11.7,69.51,1
8.11,4,AI/ML,Singapore,2,224,0.9,56.04,0
5.04,1,AI/ML,Bangalore,2,125,0.7,42.82,0
37.11,3,EdTech,Seattle,3,24,7.0,54.82,1
23.14,3,CleanTech,Toronto,17,187,2.7,56.7,0
9.84,6,EdTech,Seattle,13,187,7.4,77.19,1
77.57,1,EdTech,Bangalore,2,117,9.4,52.08,0
11.7,6,CleanTech,Austin,5,78,1.9,57.51,0
18.77,3,AI/ML,Seattle,7,6,5.5,59.42,1
23.78,5,EdTech,Boston,3,227,8.4,65.85,1
9.78,4,CleanTech,Singapore,15,47,10.1,72.35,0
29.11,3,Cybersecurity,San Francisco,16,210,6.1,66.53,1
10.66,7,EdTech,Toronto,4,148,2.7,60.37,1
12.04,2,AI/ML,San Francisco,0,171,7.2,64.13,0
71.0,1,SaaS,Boston,4,174,5.6,65.59,1
6.42,6,E-commerce,London,10,214,9.3,76.44,0
1.63,5,Cybersecurity,New York,14,10,6.8,64.59,1
91.01,7,AI/ML,Seattle,6,247,3.6,70.24,0
232.6,4,CleanTech,Bangalore,4,12,9.1,63.27,1
12.12,1,AI/ML,Toronto,4,249,6.4,59.89,0
2.62,1,Cybersecurity,San Francisco,0,66,2.4,43.7,1
13.32,4,SaaS,London,0,211,6.9,65.3,1
13.65,2,SaaS,London,7,22,11.4,66.25,1
15.03,7,SaaS,San Francisco,11,116,8.6,75.16,0
5.97,1,Cybersecurity,Berlin,0,136,3.8,42.63,1
32.45,7,AI/ML,London,3,238,8.6,74.96,0
30.71,2,HealthTech,Berlin,16,32,3.6,48.21,1
4.08,1,FinTech,Austin,17,11,6.6,54.58,0
36.57,2,AI/ML,Austin,11,162,6.5,62.01,1
141.55,2,CleanTech,Singapore,9,14,3.2,54.37,0
21.58,3,SaaS,Singapore,10,194,4.4,68.94,1
12.97,3,AI/ML,New York,6,11,11.3,70.22,1
15.77,4,CleanTech,Austin,3,242,3.2,64.31,1
33.62,4,AI/ML,London,6,134,9.7,73.78,1
3.22,1,Cybersecurity,Toronto,12,237,8.1,66.58,1
21.42,1,E-commerce,Austin,11,33,6.5,63.1,1
12.3,2,E-commerce,Austin,12,69,1.9,48.11,0
115.33,2,CleanTech,Toronto,10,114,2.7,51.69,0
15.27,1,E-commerce,Berlin,1,9,2.4,44.15,1
96.34,3,FinTech,Bangalore,11,27,7.2,63.44,1
6.03,4,SaaS,Singapore,15,83,11.7,72.54,0
32.7,3,HealthTech,Bangalore,11,184,10.6,68.86,0
25.01,3,AI/ML,New York,10,177,0.6,56.5,1
7.62,4,HealthTech,Austin,4,23,3.5,63.45,1
21.7,4,AI/ML,Austin,14,16,2.1,53.78,1
61.1,3,EdTech,San Francisco,8,164,11.7,73.79,1
13.15,2,FinTech,Singapore,4,91,3.1,57.15,0
3.35,3,FinTech,Berlin,8,198,2.7,50.9,1
17.86,1,AI/ML,San Francisco,2,75,7.6,57.39,0
7.37,4,FinTech,New York,16,91,6.8,65.62,1
12.91,7,CleanTech,New York,12,56,2.9,67.91,1
16.75,3,CleanTech,Seattle,5,68,8.1,61.28,0
3.3,1,E-commerce,Seattle,14,177,1.4,50.13,0
3.61,5,HealthTech,Austin,0,118,0.5,45.51,1
29.43,1,CleanTech,Bangalore,6,165,1.3,59.61,0
10.78,2,E-commerce,Austin,11,21,4.6,53.43,0
1.4,2,SaaS,London,0,134,11.7,64.33,1
39.84,7,FinTech,Seattle,12,115,6.7,71.47,0
23.86,7,AI/ML,Boston,14,227,9.1,75.24,1
8.9,4,CleanTech,Toronto,10,107,4.1,67.61,1
4.87,5,FinTech,Bangalore,3,27,8.7,56.64,1
41.92,5,FinTech,San Francisco,13,174,11.6,78.55,1
25.77,5,SaaS,Seattle,6,39,4.5,57.23,1
196.88,4,AI/ML,New York,13,227,12.0,76.23,1
27.67,7,SaaS,Seattle,11,97,7.8,70.81,1
26.78,6,SaaS,Berlin,1,196,9.1,64.97,1
15.38,1,EdTech,Seattle,1,164,3.3,49.28,0
41.13,3,FinTech,Boston,0,117,7.8,49.74,1
33.96,7,FinTech,Boston,1,146,6.3,67.51,1
63.54,3,FinTech,Austin,5,47,11.5,68.64,1
10.79,2,E-commerce,Boston,0,20,10.9,50.04,1
11.76,7,CleanTech,Boston,16,192,4.9,75.26,0
11.26,5,SaaS,Berlin,16,239,11.4,72.46,1
40.08,4,FinTech,San Francisco,3,215,10.7,71.95,1
81.32,3,SaaS,San Francisco,5,77,7.2,62.85,1
11.49,1,Cybersecurity,London,13,90,1.3,52.62,0
11.88,3,HealthTech,Berlin,11,91,2.2,62.57,0
24.88,4,SaaS,Austin,10,176,1.2,68.88,0
14.21,7,AI/ML,Austin,17,156,1.6,70.54,0
47.09,3,EdTech,Berlin,11,199,11.7,73.6,1
1.91,2,SaaS,Boston,12,236,2.8,64.15,0
7.95,3,SaaS,Singapore,9,99,8.4,65.94,1
8.31,7,SaaS,New York,9,166,7.7,78.48,1
1.79,4,E-commerce,New York,5,126,7.7,66.59,0
6.93,3,AI/ML,London,9,238,2.7,61.72,0
7.28,5,FinTech,Boston,16,89,7.1,70.89,1
14.86,5,FinTech,Singapore,6,48,7.6,59.56,1
55.31,3,SaaS,London,2,95,7.0,63.2,1
14.22,7,Cybersecurity,Boston,10,155,2.5,60.36,1
6.48,5,FinTech,New York,14,238,8.8,67.44,1
17.17,1,FinTech,New York,17,207,1.2,57.31,0
51.89,3,E-commerce,Singapore,9,6,7.2,52.67,1
6.85,7,SaaS,Austin,14,128,5.4,69.71,1
7.31,3,HealthTech,London,4,41,3.2,56.46,1
31.77,4,HealthTech,Toronto,7,91,9.7,69.38,0
14.56,5,E-commerce,Toronto,7,236,2.4,54.6,1
34.73,5,AI/ML,Austin,5,246,11.2,77.58,1
17.93,7,E-commerce,New York,12,40,10.6,73.49,1
36.66,2,EdTech,Singapore,15,36,4.5,57.9,0
6.46,4,AI/ML,Berlin,5,174,3.9,56.3,1
17.96,4,CleanTech,Boston,2,103,1.9,53.75,0
14.72,2,EdTech,London,14,109,11.0,71.33,1
5.39,5,SaaS,New York,15,218,7.6,74.46,1
3.81,1,HealthTech,Singapore,16,230,0.7,49.25,0
36.08,4,E-commerce,Singapore,4,225,6.3,59.81,0
12.79,3,FinTech,Austin,12,196,1.3,53.75,0
6.54,2,HealthTech,Seattle,12,245,7.0,61.68,0
16.51,6,E-commerce,Boston,14,180,6.3,62.67,0
56.15,2,FinTech,San Francisco,14,221,1.3,59.45,1
1.86,2,Cybersecurity,New York,17,136,9.8,70.34,1
4.07,6,SaaS,Bangalore,8,14,3.4,55.71,1
7.22,7,SaaS,Seattle,1,204,6.6,67.54,1
78.35,1,AI/ML,New York,3,232,7.8,62.94,1
24.11,2,E-commerce,San Francisco,15,79,11.6,72.67,0
39.15,5,SaaS,Boston,15,108,6.1,65.87,0
5.81,6,Cybersecurity,Bangalore,0,143,11.0,66.11,0
5.93,7,Cybersecurity,Boston,6,163,4.5,64.52,1
28.44,4,HealthTech,Bangalore,4,169,10.3,64.44,0
19.26,1,E-commerce,Seattle,5,99,3.1,53.0,0
31.46,7,EdTech,Singapore,11,213,8.6,72.57,0
15.06,2,Cybersecurity,Singapore,9,203,1.3,55.01,1
24.0,1,EdTech,San Francisco,8,235,11.8,72.65,1
21.29,5,EdTech,San Francisco,7,144,11.5,77.88,1
39.56,5,E-commerce,Bangalore,11,21,5.5,53.3,0
40.73,1,CleanTech,Bangalore,12,211,6.4,61.94,1
3.6,2,HealthTech,New York,0,21,7.3,55.42,1
1.92,5,AI/ML,Berlin,2,50,3.5,56.41,1
49.49,2,EdTech,Bangalore,6,72,8.2,60.95,1
59.6,5,AI/ML,Bangalore,7,47,8.5,62.22,0
6.55,3,AI/ML,Austin,17,181,6.4,71.93,1
2.83,5,Cybersecurity,Toronto,16,111,2.0,62.88,1
20.07,4,Cybersecurity,Berlin,11,56,11.1,67.08,0
46.1,3,E-commerce,Bangalore,0,3,1.6,38.47,0
109.68,3,E-commerce,New York,1,55,7.7,52.0,1
30.46,5,Cybersecurity,Berlin,8,173,1.5,59.34,0
12.53,4,HealthTech,San Francisco,10,198,2.0,60.6,1
7.44,5,E-commerce,Boston,11,75,0.5,49.82,1
18.38,5,CleanTech,San Francisco,2,20,4.6,63.13,0
13.47,2,HealthTech,Seattle,15,140,7.8,70.56,0
6.59,7,Cybersecurity,Toronto,8,196,6.4,70.11,1
141.0,4,E-commerce,Berlin,10,19,8.2,61.99,0
108.33,6,EdTech,Boston,0,199,8.2,67.76,1
56.6,7,SaaS,Seattle,14,44,1.9,65.32,0
7.24,7,SaaS,Boston,9,65,1.0,57.59,1
42.74,5,Cybersecurity,Singapore,4,156,7.6,65.48,1
34.45,6,Cybersecurity,Austin,5,14,7.9,65.86,1
28.29,4,CleanTech,San Francisco,6,77,6.8,66.51,0
63.41,6,E-commerce,London,0,36,3.2,55.8,0
34.31,3,FinTech,Toronto,16,55,9.8,69.3,1
38.09,5,Cybersecurity,Seattle,14,193,1.2,56.51,0
34.36,1,HealthTech,Austin,15,58,7.7,64.73,0
25.55,7,HealthTech,San Francisco,6,12,1.7,63.02,1
3.05,2,FinTech,Bangalore,10,55,8.0,71.59,1
19.76,5,Cybersecurity,Singapore,8,23,5.2,61.21,0
10.42,1,SaaS,New York,8,156,8.7,64.77,1
5.05,2,HealthTech,San Francisco,10,243,0.9,68.62,0
97.69,7,FinTech,New York,8,43,6.8,73.17,1
102.41,6,SaaS,Boston,13,182,2.0,65.54,0
70.75,2,E-commerce,Toronto,1,91,8.3,52.32,1
23.46,1,Cybersecurity,New York,3,19,1.7,55.32,0
70.15,6,AI/ML,Toronto,16,172,1.2,60.71,1
18.39,7,AI/ML,San Francisco,15,54,8.6,77.84,0
22.26,2,CleanTech,Singapore,14,129,1.0,51.29,0
6.09,5,Cybersecurity,Austin,6,127,2.9,60.19,0
27.03,2,EdTech,Bangalore,8,150,9.9,57.3,0
19.31,6,Cybersecurity,Seattle,0,35,9.8,72.01,1
4.94,3,AI/ML,Austin,5,64,10.3,65.98,1
17.27,1,Cybersecurity,Austin,13,184,4.1,52.23,0
16.78,3,FinTech,Toronto,6,233,6.5,68.72,1
109.68,4,FinTech,Seattle,8,4,9.3,64.41,1
44.44,6,Cybersecurity,Boston,2,104,1.9,62.19,0
18.38,1,E-commerce,Singapore,8,220,8.8,64.27,1
23.31,7,HealthTech,London,12,73,1.4,67.42,1
19.0,5,Cybersecurity,Berlin,10,113,11.0,64.31,1
14.84,7,FinTech,Seattle,10,226,7.8,77.01,1
6.16,7,E-commerce,San Francisco,16,242,6.1,71.39,1
15.63,2,HealthTech,San Francisco,4,164,6.0,60.68,0
8.62,1,FinTech,San Francisco,5,174,2.4,55.02,1
5.21,6,CleanTech,London,11,154,4.3,59.28,1
30.3,2,CleanTech,London,8,72,8.8,64.36,1
26.88,2,FinTech,Singapore,17,221,6.6,59.38,1
3.04,4,FinTech,Toronto,1,10,6.5,55.03,0
16.08,7,AI/ML,New York,2,16,2.6,63.13,1
49.19,6,FinTech,Bangalore,6,151,8.4,75.26,1
52.42,4,E-commerce,Bangalore,8,209,4.9,57.29,1
50.7,2,Cybersecurity,Berlin,16,203,2.4,64.33,1
18.9,3,CleanTech,London,8,170,11.3,73.28,1
7.81,5,HealthTech,New York,7,95,6.2,65.45,1
6.15,2,HealthTech,New York,3,91,6.5,54.85,0
25.65,4,E-commerce,San Francisco,7,107,11.8,65.85,1
26.56,1,FinTech,Berlin,9,65,4.6,57.43,0
65.85,3,AI/ML,Seattle,10,105,11.3,69.81,0
54.6,2,SaaS,New York,10,27,8.4,68.56,1
15.92,5,E-commerce,New York,7,81,7.7,63.67,1
5.24,7,HealthTech,San Francisco,2,235,3.0,62.66,0
13.21,2,CleanTech,Berlin,2,177,0.9,49.6,1
22.58,6,E-commerce,Berlin,2,37,5.4,56.82,0
14.85,5,HealthTech,Berlin,11,72,0.4,58.21,0
10.2,7,EdTech,New York,15,66,1.1,66.94,1
23.4,7,FinTech,San Francisco,15,71,7.3,75.36,0
10.98,1,SaaS,New York,5,173,8.8,63.24,1
9.7,6,EdTech,Singapore,1,223,2.3,58.57,1
24.82,5,FinTech,Singapore,11,178,8.9,65.74,0
12.16,1,AI/ML,Austin,0,123,11.4,63.39,0
23.2,2,AI/ML,San Francisco,11,41,9.0,68.2,0
23.88,7,FinTech,Boston,6,37,9.5,76.39,1
5.82,4,HealthTech,Toronto,15,203,8.5,71.3,0
11.23,3,FinTech,New York,11,170,2.9,60.49,1
76.54,3,E-commerce,Singapore,13,128,4.5,64.18,0
5.69,6,EdTech,Seattle,7,145,11.4,71.95,1
2.19,2,FinTech,New York,15,212,8.0,67.64,1
2.82,2,HealthTech,Bangalore,9,203,9.5,63.58,0
18.71,5,Cybersecurity,London,11,23,11.6,74.33,1
18.74,7,EdTech,Berlin,6,99,3.0,61.0,1
16.16,2,E-commerce,San Francisco,8,12,4.1,60.67,0
61.2,2,SaaS,Boston,15,97,7.8,72.76,1
1.26,4,HealthTech,Berlin,7,159,0.6,59.15,1
27.0,2,EdTech,Berlin,0,53,7.0,58.9,1
86.61,5,FinTech,San Francisco,6,39,9.8,66.9,1
5.88,2,E-commerce,Berlin,7,123,7.4,51.96,1
12.43,1,EdTech,Bangalore,7,132,3.8,49.97,0
8.56,2,SaaS,Singapore,1,179,8.8,60.55,1
7.43,7,HealthTech,Austin,2,5,2.0,55.86,1
13.11,7,CleanTech,Bangalore,5,63,10.8,65.7,0
75.75,4,HealthTech,Berlin,7,195,1.5,64.27,1
114.14,3,AI/ML,San Francisco,0,171,10.4,76.13,1
12.99,6,CleanTech,New York,7,225,6.1,73.66,0
122.13,2,E-commerce,Bangalore,5,204,5.3,61.49,1
18.83,5,AI/ML,Austin,0,210,6.2,64.47,0
104.97,5,Cybersecurity,San Francisco,4,128,2.6,60.28,1
16.56,5,HealthTech,Seattle,4,239,5.7,66.84,1
20.72,2,Cybersecurity,London,2,105,10.2,72.6,0
26.19,6,AI/ML,London,13,225,9.7,75.6,1
436.53,5,SaaS,Berlin,1,99,2.2,56.07,1
42.58,7,EdTech,Bangalore,10,112,8.2,74.78,0
8.96,2,E-commerce,Singapore,11,172,10.3,69.37,1
47.89,5,Cybersecurity,San Francisco,14,100,9.9,71.83,0
12.66,6,E-commerce,San Francisco,9,38,5.3,64.2,1
11.14,2,FinTech,San Francisco,9,224,0.9,55.13,1
45.09,6,SaaS,Boston,13,114,11.2,76.21,1
18.75,1,E-commerce,Boston,15,231,4.9,61.95,1
24.01,6,SaaS,Bangalore,3,100,4.5,59.41,1
18.43,5,CleanTech,Boston,14,243,9.2,75.75,0
25.45,2,E-commerce,San Francisco,8,151,3.4,57.38,1
27.8,1,FinTech,Toronto,1,192,10.1,70.86,0
2.62,6,AI/ML,Austin,11,189,1.2,64.93,1
35.4,2,HealthTech,Bangalore,17,52,9.0,64.54,1
6.81,4,SaaS,Singapore,2,204,11.6,71.31,0
4.3,1,SaaS,Toronto,0,236,12.0,59.0,0
17.14,7,CleanTech,Toronto,16,165,11.1,69.81,1
19.77,4,CleanTech,New York,10,236,10.5,71.06,0
9.08,7,SaaS,Berlin,3,211,3.6,63.58,1
41.72,2,AI/ML,Seattle,14,167,11.6,66.17,1
4.75,2,E-commerce,Berlin,7,120,11.2,63.23,0
12.1,5,E-commerce,Singapore,5,214,6.6,55.33,0
10.13,5,E-commerce,London,5,48,5.0,58.89,1
17.35,6,CleanTech,Boston,10,141,1.6,63.23,0
24.02,7,Cybersecurity,Bangalore,2,204,7.2,69.59,1
6.63,6,CleanTech,Berlin,6,236,8.5,68.13,0
37.5,1,HealthTech,Toronto,5,68,5.0,54.62,0
19.36,3,SaaS,Austin,1,25,5.1,50.71,1
2.74,7,SaaS,Toronto,13,84,7.0,69.96,1
2.56,4,AI/ML,Boston,0,216,0.6,52.96,0
17.95,7,AI/ML,Seattle,17,131,11.5,76.76,0
14.57,4,E-commerce,Toronto,1,15,3.7,51.18,1
16.39,1,SaaS,Boston,6,31,1.9,50.57,1
17.67,4,EdTech,Austin,1,86,0.4,48.62,0
22.77,6,SaaS,Bangalore,6,86,10.3,79.56,0
46.88,5,CleanTech,Bangalore,10,35,10.4,68.71,0
5.98,1,EdTech,Boston,1,124,1.4,43.72,1
5.63,2,FinTech,Boston,9,120,2.1,53.79,1
6.09,6,Cybersecurity,Austin,13,51,5.5,62.88,0
24.26,7,HealthTech,San Francisco,8,59,2.5,69.79,1
63.11,6,AI/ML,London,2,166,8.9,70.18,1
11.81,1,CleanTech,Austin,12,238,1.0,48.99,0
1.49,5,EdTech,Toronto,3,249,6.7,59.98,1
3.31,6,EdTech,New York,0,140,4.8,55.18,0
7.9,5,EdTech,Berlin,7,11,5.7,50.89,1
10.4,5,HealthTech,London,4,224,5.3,63.97,1
12.08,4,HealthTech,Berlin,0,237,2.1,57.65,0
18.89,2,HealthTech,New York,13,70,2.9,58.95,1
13.31,2,SaaS,Seattle,10,101,1.1,60.56,1
51.9,6,AI/ML,Berlin,16,8,1.6,64.51,1
9.24,1,FinTech,Boston,8,200,11.7,70.04,1
7.67,1,CleanTech,Toronto,7,194,3.6,61.02,1
29.34,3,E-commerce,London,15,7,3.9,54.43,0
3.91,6,FinTech,Boston,1,176,1.8,59.93,1
26.83,5,CleanTech,San Francisco,6,104,9.1,70.72,1
20.14,5,FinTech,New York,14,137,11.1,80.65,0
15.68,4,AI/ML,Seattle,5,56,9.5,68.98,1
88.97,1,SaaS,Seattle,15,204,7.5,61.58,0
9.76,3,AI/ML,Toronto,5,102,9.8,69.14,1
142.64,1,Cybersecurity,Singapore,7,210,5.0,55.49,0
14.51,6,Cybersecurity,New York,16,38,10.4,76.4,1
5.07,6,EdTech,London,4,147,9.6,71.46,1
19.49,2,AI/ML,Seattle,17,78,0.3,54.79,0
6.2,3,Cybersecurity,New York,0,241,6.0,61.21,1
8.57,3,E-commerce,Berlin,4,140,3.4,46.95,1
27.03,7,Cybersecurity,London,10,180,1.3,66.89,1
31.68,4,SaaS,San Francisco,10,23,10.2,68.41,1
9.76,6,EdTech,Seattle,16,169,0.4,72.25,0
48.78,4,AI/ML,Singapore,17,27,8.8,70.2,0
57.83,5,CleanTech,Boston,12,91,11.9,72.0,1
76.42,4,Cybersecurity,Boston,11,57,5.9,59.51,1
